"GSPTSE.Open" "GSPTSE.High" "GSPTSE.Low" "GSPTSE.Close" "GSPTSE.Volume" "GSPTSE.Adjusted"
"2008-01-09" 13528.299805 13586.599609 13414.099609 13579.900391 246848500 13579.900391
"2008-01-10" 13501.299805 13683.900391 13437 13642.700195 240158400 13642.700195
"2008-01-11" 13587 13679.5 13568.299805 13632.599609 236679500 13632.599609
"2008-01-14" 13729.5 13734.400391 13632.599609 13698.299805 208299300 13698.299805
"2008-01-15" 13580.799805 13698.299805 13314.599609 13316.799805 263789600 13316.799805
"2008-01-16" 13177.700195 13316.799805 12989.200195 13074.900391 289472300 13074.900391
"2008-01-17" 13154.900391 13209.299805 12766.099609 12795.599609 262736600 12795.599609
"2008-01-18" 12897.799805 12962.5 12598.400391 12737.099609 262415400 12737.099609
"2008-01-21" 12249.099609 12737.799805 12119.900391 12132.099609 170828600 12132.099609
"2008-01-22" 11982.900391 12640.900391 12011.700195 12640.900391 332059600 12640.900391
"2008-01-23" 12415.5 12682 12216.799805 12657.400391 300858000 12657.400391
"2008-01-24" 12936 12974.099609 12657.299805 12907.299805 292327100 12907.299805
"2008-01-25" 13171.299805 13157.700195 12837.900391 12894.799805 281087300 12894.799805
"2008-01-28" 12891.5 12989.700195 12774.799805 12986.900391 202346000 12986.900391
"2008-01-29" 13037.900391 13069.200195 12972.900391 13046.400391 200174200 13046.400391
"2008-01-30" 13033 13135.599609 12946.099609 12998.200195 224484600 12998.200195
"2008-01-31" 12887.400391 13176.599609 12817.700195 13155.099609 288015600 13155.099609
"2008-02-01" 13202.599609 13331.099609 13155.099609 13318.400391 335260300 13318.400391
"2008-02-04" 13338.200195 13351.700195 13234.700195 13258.200195 210055300 13258.200195
"2008-02-05" 13169.099609 13258.200195 12932 12932 206920300 12932
"2008-02-06" 13064.900391 13067.299805 12838.299805 12867.200195 180121800 12867.200195
"2008-02-07" 12832.299805 12980.400391 12747.599609 12925.400391 194629900 12925.400391
"2008-02-08" 12890.599609 13016.5 12894.700195 12989.299805 202230200 12989.299805
"2008-02-11" 13051.900391 13139.299805 12928.700195 13130.900391 180305500 13130.900391
"2008-02-12" 13141.799805 13219.200195 13036.5 13087.400391 204573300 13087.400391
"2008-02-13" 13141.400391 13282.299805 13087.400391 13282.299805 206388900 13282.299805
"2008-02-14" 13350.799805 13346.5 13204.5 13208 217019900 13208
"2008-02-15" 13223.799805 13227.599609 13107 13226.799805 182057200 13226.799805
"2008-02-19" 13399.400391 13480.599609 13226.799805 13447.700195 240136900 13447.700195
"2008-02-20" 13339.200195 13566 13331.900391 13551.700195 221030300 13551.700195
"2008-02-21" 13669.900391 13657.200195 13489.799805 13509.599609 274898900 13509.599609
"2008-02-22" 13564.299805 13603.400391 13395.299805 13585.900391 219595200 13585.900391
"2008-02-25" 13560 13728.5 13527.400391 13697.5 191256600 13697.5
"2008-02-26" 13639.799805 13846.799805 13634.5 13797 241199100 13797
"2008-02-27" 13741.799805 13851.700195 13733 13778.400391 259073600 13778.400391
"2008-02-28" 13773.700195 13891.799805 13738.299805 13873.900391 286854400 13873.900391
"2008-02-29" 13804.099609 13873.900391 13546.900391 13582.700195 252219700 13582.700195
"2008-03-03" 13622.5 13667.599609 13449 13544.400391 220826800 13544.400391
"2008-03-04" 13525.900391 13570.099609 13297.5 13476.799805 273474400 13476.799805
